"","Condition","List","GenderRating","NameShown","NameFirst","NameLast","He","She","Other","OtherType","Response","SubjID","SubjGender","SubjAge","SubjRace","SubjEd"
"127","first",3,1.21,"Matthew","Matthew",NA,1,0,0,"","he folded his clothes for work the next day.","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"128","first",3,1.24,"Brian","Brian",NA,1,0,0,"","he stepped outside to smoke a cigarette.","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"129","first",3,1.28,"James","James",NA,1,0,0,"","he scanned for the best teammate to throw it to. ","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"130","first",3,2.12,"Chris","Chris",NA,1,0,0,"","he could finally take off his shoes and relax. ","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"131","first",3,2.41,"Tommie","Tommie",NA,1,0,0,"","he started searching WebMD and inputting his symptoms.","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"132","first",3,2.61,"Emerson","Emerson",NA,1,0,0,"","he made sure to set an alarm on his phone. ","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"133","first",3,3.61,"Stevie","Stevie",NA,1,0,0,"","he did a cool down laps.","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"134","first",3,3.75,"Quinn","Quinn",NA,0,1,0,"","she sipped the glass of champagne.","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"135","first",3,3.87,"Reese","Reese",NA,0,0,1,"other subject","the kitchen smelled much better.","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"136","first",3,4.22,"Taylor","Taylor",NA,1,0,0,"","he added a splash of sugar and milk. ","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"137","first",3,4.34,"Riley","Riley",NA,0,1,0,"","she realized she should probably put it in a to-go cup because she was running late. ","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"138","first",3,4.39,"Jessie","Jessie",NA,1,0,0,"","he plopped down on the couch to finally relax. ","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"139","first",3,4.73,"Kerry","Kerry",NA,1,0,0,"","he finally felt better and could move his fingers again.","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"140","first",3,5.22,"Blair","Blair",NA,1,0,0,"","he sent a quick text message to a coworker. ","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"141","first",3,5.34,"Jackie","Jackie",NA,1,0,0,"","he helped himself to a plate of barbecue. ","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"142","first",3,5.59,"Jodie","Jodie",NA,0,1,0,"","she felt the stresses of the day melt away. ","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"143","first",3,5.86,"Elisha","Elisha",NA,0,1,0,"","she squeezed an wedge of lemon into it. ","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"144","first",3,6.24,"Ashley","Ashley",NA,0,1,0,"","she finally felt some comfort. ","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"145","first",3,6.73,"Mary","Mary",NA,0,1,0,"","she stormed off to call her boyfriend. ","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"146","first",3,6.78,"Rebecca","Rebecca",NA,0,1,0,"","she looked online for a good teacher. ","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"147","first",3,6.82,"Emily","Emily",NA,0,1,0,"","she checked Instagram for any updates. ","R_27wfv4KdtakCH9v","male","25 - 34","White","Some college"
"148","first",2,1.21,"Matthew","Matthew",NA,1,0,0,"","he thanked his friend.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"149","first",2,1.24,"Brian","Brian",NA,1,0,0,"","he gave it a treat.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"150","first",2,1.28,"James","James",NA,1,0,0,"","he sent a lengthy return message.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"151","first",2,2.12,"Chris","Chris",NA,1,0,0,"","he bought some popcorn.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"152","first",2,2.41,"Tommie","Tommie",NA,1,0,0,"","he fell asleep on the couch.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"153","first",2,2.61,"Emerson","Emerson",NA,1,0,0,"","he finished reading his new book.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"154","first",2,3.61,"Stevie","Stevie",NA,1,0,0,"","he thought about what to cook for dinner.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"155","first",2,3.75,"Quinn","Quinn",NA,1,0,0,"","he started to choke on a crouton.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"156","first",2,3.87,"Reese","Reese",NA,0,1,0,"","she finished the entire drink.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
"157","first",2,4.22,"Taylor","Taylor",NA,1,0,0,"","he looked for an open receiver.","R_sTirq9Jri8w60r7","male","35 - 44","Asian","4 year degree"
